,Year,Parameter,Coefficient,StdErr,PValue
0,2018,const,0.002864823969706054,0.14452482771365144,0.9843489556073854
1,2018,Finance_Secure_2018,0.1147312668128021,0.18445101316457654,0.5397968540276874
2,2018,Environment_2018,-0.207169852672554,0.2283642421048118,0.3733252496808046
3,2018,Employment_2018,-0.008225368849593618,0.20739622774445812,0.9686921376889509
4,2018,Healthy_2018,-0.1883984657372612,0.19038482338654186,0.3322584480800572
5,2018,Safety_2018,0.009374430037537712,0.21202580085887415,0.9650999331862944
6,2018,Decent_Home_2018,0.3523494889309331,0.16335132060959284,0.04123633137831554
7,2018,Connections_2018,-0.5447436509945036,0.243067928511906,0.034535198066383346
8,2019,const,-0.001326001331413848,0.17504054744523243,0.994018385267485
9,2019,Finance_Secure_2019,0.1580524313454541,0.2078895143700381,0.4544969822007703
10,2019,Environment_2019,0.7504338495211601,0.2859536884667017,0.014862923654834223
11,2019,Employment_2019,-0.13297277982289002,0.2648722362279771,0.6202239746898908
12,2019,Healthy_2019,-0.2990463864369733,0.23237578198501818,0.21040059762690327
13,2019,Safety_2019,0.06514933209393065,0.21445476391872623,0.763905621126437
14,2019,Decent_Home_2019,0.4781684161668446,0.26581750211251026,0.08462993236015333
15,2019,Connections_2019,-0.37170411650566615,0.2805145070391439,0.19762257806380817
16,2020,const,-0.005016817024811326,0.1745130333917035,0.9773036743315207
17,2020,Finance_Secure_2020,-0.4204082978474705,0.24118501646811347,0.09411709207049107
18,2020,Environment_2020,0.2696848586054927,0.22399699882395155,0.24034310227912856
19,2020,Employment_2020,0.3204065315556764,0.3046493974795574,0.30340180618918844
20,2020,Healthy_2020,-0.12244605632431134,0.2230470537967612,0.5880978874295025
21,2020,Safety_2020,0.2245476287687087,0.22499538262286814,0.328231171627699
22,2020,Decent_Home_2020,0.19846618758404733,0.19597023490106855,0.32128785700118245
23,2020,Connections_2020,0.1524772846805339,0.21242980303600426,0.47982369172823125
24,2021,const,0.0002182408137468457,0.10010419644232281,0.998278524694846
25,2021,Finance_Secure_2021,0.22054381940230178,0.12371733090410644,0.0873002886122895
26,2021,Environment_2021,-0.42495602978605423,0.1229289380732296,0.0020492274570817915
27,2021,Employment_2021,-0.6020406858925176,0.12853173371399987,9.274668074783067e-05
28,2021,Healthy_2021,0.1916014494664531,0.11307188312186515,0.10310763962010223
29,2021,Safety_2021,0.2906127965802046,0.12822353625167812,0.03271963183469245
30,2021,Decent_Home_2021,-0.2576185944830901,0.11026723740854184,0.028155181573336772
31,2021,Connections_2021,0.07569952128143526,0.11885756199649487,0.5302234113650233
32,2022,const,-0.0027177768908338146,0.11420440984595119,0.9812109121535788
33,2022,Finance_Secure_2022,0.519468090403878,0.13203428657528,0.0006218990786545707
34,2022,Environment_2022,-0.16176165046040614,0.14108008232279473,0.26285253674514203
35,2022,Employment_2022,-0.326716032667263,0.13197546507850313,0.0207498662153936
36,2022,Healthy_2022,-0.26987723758703197,0.11992205527839482,0.033856858463889646
37,2022,Safety_2022,0.03336555251461747,0.14340519977661487,0.8179933101237794
38,2022,Decent_Home_2022,0.31610555927048073,0.12155430324245947,0.01568563314371542
39,2022,Connections_2022,-0.41930058495929357,0.11903970429395255,0.0017431699129530833
